Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
52,32,0.000104437,10,2.9332E-05,42
53,19,6.32949E-05,19,5.33309E-05,38
53234935,0,3.16475E-06,30,8.26629E-05,30
54,23,7.59539E-05,13,3.73316E-05,36
55,143,0.000455724,38,0.000103995,181
555,460,0.001458948,132,0.000354651,592
5555,375,0.001189945,93,0.000250655,468
55555,216,0.00068675,34,9.33291E-05,250
555555,117,0.00037344,12,3.46651E-05,129
5555555,95,0.000303816,0,2.66655E-06,95
55555555,64,0.000205709,0,2.66655E-06,64
555555555,55,0.000177226,0,2.66655E-06,55
5555555555,48,0.000155073,0,2.66655E-06,48
55555555555,32,0.000104437,0,2.66655E-06,32
5.55556E+11,23,7.59539E-05,0,2.66655E-06,23
5.55556E+12,13,4.43065E-05,0,2.66655E-06,13
5.55556E+13,13,4.43065E-05,0,2.66655E-06,13
5.55556E+14,13,4.43065E-05,0,2.66655E-06,13
56,34,0.000110766,0,2.66655E-06,34
57,16,5.38007E-05,15,4.26647E-05,31
58,23,7.59539E-05,21,5.8664E-05,44
59,35,0.000113931,16,4.53313E-05,51
6,1136,0.003598318,1138,0.003037196,2274
"๖,๐๐๐",0,3.16475E-06,58,0.000157326,58
60,33,0.000107601,18,5.06644E-05,51
61,20,6.64597E-05,15,4.26647E-05,35
611,0,3.16475E-06,12,3.46651E-05,12
62,13,4.43065E-05,138,0.00037065,151
6234735,13,4.43065E-05,0,2.66655E-06,13
625,21,6.96244E-05,0,2.66655E-06,21
63,99,0.000316475,549,0.0014666,648
๖๓,0,3.16475E-06,56,0.000151993,56
64,25,8.22834E-05,17,4.79978E-05,42
64572567,0,3.16475E-06,25,6.93302E-05,25
65,35,0.000113931,17,4.79978E-05,52
66,20,6.64597E-05,0,2.66655E-06,20
67,12,4.11417E-05,0,2.66655E-06,12
68,22,7.27892E-05,0,2.66655E-06,22
69,116,0.000370275,27,7.46633E-05,143
7,1861,0.005892759,875,0.002335894,2736
70,41,0.000132919,51,0.00013866,92
702,15,5.0636E-05,0,2.66655E-06,15
71,14,4.74712E-05,174,0.000466646,188
72,19,6.32949E-05,15,4.26647E-05,34
73,21,6.96244E-05,15,4.26647E-05,36
7330,0,3.16475E-06,71,0.000191991,71
74,0,3.16475E-06,10,2.9332E-05,10
